Name,Price,24H change,24H volume,Market Cap
Bitcoin,"$17,666.03",-3.86%,$25.98 B,.css-1vyy4qg{text-align:right;-webkit-padding-start:var(--chakra-space-2);padding-inline-start:var(--chakra-space-2);-webkit-padding-end:var(--chakra-space-2);padding-inline-end:var(--chakra-space-2);padding-top:var(--chakra-space-4);padding-bottom:var(--chakra-space-4);line-height:var(--chakra-lineHeights-5);border-bottom:var(--chakra-borders-1px);border-color:var(--chakra-colors-gray-100);font-size:12px;font-weight:var(--chakra-fontWeights-medium);}.css-1vyy4qg[data-is-numeric=true]{text-align:end;}@media screen and (min-width: 48em){.css-1vyy4qg{font-size:14px;-webkit-padding-start:var(--chakra-space-4);padding-inline-start:var(--chakra-space-4);-webkit-padding-end:var(--chakra-space-4);padding-inline-end:var(--chakra-space-4);}}
Ethereum,"$1,286.25",-4.90%,$8.14 B,$155.74 B
Tether,$1.02,-0.08%,$30.58 B,$65.97 B
USD Coin,$1.00,-0.15%,$2.98 B,$45.05 B
BNB,$266.32,-3.57%,$774.81 M,$42 B
XRP,$0.3871,-2.73%,$850.73 M,$19.23 B
Binance USD,$1.00,-0.09%,$6.93 B,$18.64 B
Dogecoin,$0.08775,-5.01%,$547.82 M,$11.49 B
Cardano,$0.306,-3.48%,$233.35 M,$10.4 B
Polygon,$0.8979,-4.45%,$321.81 M,$7.74 B
Polkadot,$5.27,-2.16%,$206.05 M,$5.96 B
Dai,$1.02,-0.13%,$173.09 M,$5.82 B
Wrapped TRON,$0.05589,-2.27%,$1.23 M,$5.68 B
Litecoin,$74.41,-4.96%,$561.77 M,$5.27 B
TRON,$0.05586,-2.24%,$236.01 M,$5.14 B
Solana,$14.62,-4.93%,$414.45 M,$5.12 B
Shiba Inu,$0.000009047,-3.50%,$115.48 M,$4.86 B
Uniswap,$6.00,-3.30%,$95.92 M,$4.49 B
HEX,$0.02595,-10.77%,$5.99 M,$4.5 B
Lido stETH,"$1,227.17",-1.06%,$30.8 M,$4.28 B
Avalanche,$13.53,-5.15%,$197.48 M,$4.15 B
UNUS SED LEO,$3.69,-1.61%,$2.47 M,$3.52 B
Chainlink,$6.63,-4.81%,$228.29 M,$3.32 B
Wrapped Bitcoin,"$17,751.22",-3.95%,$142.02 M,$3.23 B
Toncoin,$2.36,-7.15%,$76.33 M,$2.89 B
Cosmos,$9.78,-2.86%,$117.8 M,$2.75 B
Monero,$147.80,-0.08%,$77.6 M,$2.69 B
Ethereum Classic,$18.59,-5.63%,$114.94 M,$2.53 B
Stellar,$0.08476,-1.37%,$69.17 M,$2.16 B
Bitcoin Cash,$110.35,-1.37%,$150.47 M,$2.09 B
Algorand,$0.2232,-2.25%,$90.9 M,$1.56 B
Cronos,$0.0621,-2.98%,$16.56 M,$1.55 B
Quant,$124.34,-4.21%,$31.47 M,$1.46 B
ApeCoin,$4.09,-2.05%,$156.64 M,$1.45 B
Filecoin,$4.25,-4.08%,$119.65 M,$1.42 B
OKB,$22.76,-1.32%,$17.39 M,$1.37 B
NEAR Protocol,$1.65,-6.24%,$63.58 M,$1.36 B
VeChain,$0.01885,-3.83%,$31.33 M,$1.32 B
Hedera,$0.04827,-3.55%,$17.79 M,$1.14 B
Internet Computer,$4.07,-3.59%,$24 M,$1.12 B
EOS,$0.9801,-3.29%,$103.32 M,$1.04 B
Frax,$0.9961,-0.35%,$13.38 M,$1.02 B
Wrapped BNB,$263.69,-3.09%,$84.13 M,$1.01 B
Elrond,$42.70,-4.33%,$22.32 M,$997.32 M
Luna Classic,$0.0001786,-3.37%,$57.51 M,$971.17 M
Huobi Token,$6.21,-2.78%,$9.84 M,$951.82 M
Pax Dollar,$0.9999,-0.19%,$1.72 M,$945.55 M
Flow,$0.9289,-5.38%,$36.07 M,$939.48 M
Bitcoin BEP2,"$17,433.11",-3.64%,$7.87 M,$932.11 M
Bitcoin SV,$47.34,+3.54%,$86.19 M,$911.43 M
